,Area.of.residence,Area.of.workplace,All.categories..Method.of.travel.to.work,Work.mainly.at.or.from.home,Underground..metro..light.rail..tram,Train,Bus..minibus.or.coach,Taxi,Motorcycle..scooter.or.moped,Driving.a.car.or.van,Passenger.in.a.car.or.van,Bicycle,On.foot,Other.method.of.travel.to.work,dist,p_cycle,pc,ecp,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time,fastest_distance,quietest_time,quietest_distance
910647,E02002330,E02002436,1,0,0,0,0,0,0,1,0,0,0,0,24422.9055271954,0.0022686873,0.0022686873,0.0022686873,-1.400577159,53.9291452967,-1.548726411,53.7278916122,,,,
910811,E02002330,E02006852,8,0,0,0,0,0,0,7,1,0,0,0,16265.8140194755,0.0115955299,0.0927642392,0.0927642392,-1.400577159,53.9291452967,-1.5867043323,53.832819017,,,,
910812,E02002330,E02006861,5,0,0,0,0,0,0,5,0,0,0,0,16427.6330795795,0.011226262,0.0561313102,0.0561313102,-1.400577159,53.9291452967,-1.5650215028,53.8179856472,,,,
910814,E02002330,E02006875,225,0,0,5,32,0,1,166,11,2,7,1,17597.184548594,0.0088848321,1.9990872236,-0.0009127764,-1.400577159,53.9291452967,-1.5455825172,53.7962246679,,,,
910815,E02002330,E02006876,26,0,0,0,0,0,0,26,0,0,0,0,18822.228659969,0.0069541371,0.1808075635,0.1808075635,-1.400577159,53.9291452967,-1.5182092462,53.7749327017,,,,
910909,E02002331,E02002330,36,0,0,0,1,0,0,14,2,0,19,0,3549.2208781699,0.1475162441,5.3105847866,5.3105847866,-1.347653388,53.9226868903,-1.400577159,53.9291452967,,,,
910910,E02002331,E02002331,849,0,0,0,34,1,6,363,53,36,355,1,0,0.3,254.7,218.7,-1.347653388,53.9226868903,-1.347653388,53.9226868903,,,,
910911,E02002331,E02002333,3,0,0,0,1,0,0,2,0,0,0,0,22470.4248053554,0.0033524704,0.0100574113,0.0100574113,-1.347653388,53.9226868903,-1.6876952052,53.9007791557,,,,
910912,E02002331,E02002334,92,0,0,0,8,0,0,61,3,1,19,0,4512.5545051695,0.1216650252,11.1931823218,10.1931823218,-1.347653388,53.9226868903,-1.3576524285,53.8825638629,,,,
910913,E02002331,E02002335,19,0,0,0,0,0,0,15,2,1,1,0,8813.5541455305,0.0514737334,0.9780009337,-0.0219990663,-1.347653388,53.9226868903,-1.4710718403,53.8916514302,,,,
910914,E02002331,E02002336,9,0,0,0,0,0,0,9,0,0,0,0,18636.5246219512,0.0072172757,0.064955481,0.064955481,-1.347653388,53.9226868903,-1.6243652108,53.8858954673,,,,
910915,E02002331,E02002339,1,0,0,0,0,0,0,1,0,0,0,0,23569.1451941588,0.0026911092,0.0026911092,0.0026911092,-1.347653388,53.9226868903,-1.6941821605,53.8680881823,,,,
910916,E02002331,E02002340,2,0,0,0,0,0,0,2,0,0,0,0,22561.2100046275,0.0032921488,0.0065842975,0.0065842975,-1.347653388,53.9226868903,-1.6785346758,53.8686194272,,,,
910917,E02002331,E02002343,1,0,0,0,0,0,0,1,0,0,0,0,22912.6145762733,0.003068717,0.003068717,0.003068717,-1.347653388,53.9226868903,-1.6775621599,53.8561494482,,,,
910918,E02002331,E02002344,1,0,0,0,0,0,0,1,0,0,0,0,13947.8812700223,0.0184341739,0.0184341739,0.0184341739,-1.347653388,53.9226868903,-1.5253058419,53.8541243112,,,,
910919,E02002331,E02002345,6,0,0,0,0,0,0,2,1,0,3,0,17478.4687461316,0.0090983104,0.0545898624,0.0545898624,-1.347653388,53.9226868903,-1.5896573219,53.8575607216,,,,
910920,E02002331,E02002346,1,0,0,0,0,0,0,1,0,0,0,0,19559.3319254911,0.0060009398,0.0060009398,0.0060009398,-1.347653388,53.9226868903,-1.6186437517,53.8500711391,,,,
910921,E02002331,E02002347,4,0,0,0,0,0,0,3,0,1,0,0,15720.6764407533,0.0129312542,0.0517250168,-0.9482749832,-1.347653388,53.9226868903,-1.5519706135,53.8492478781,,,,
910922,E02002331,E02002348,1,0,0,0,0,0,0,1,0,0,0,0,18933.2660569163,0.0068014054,0.0068014054,0.0068014054,-1.347653388,53.9226868903,-1.604851375,53.8460916699,,,,
910923,E02002331,E02002349,1,0,0,0,0,0,0,1,0,0,0,0,13237.6961507074,0.0212475851,0.0212475851,0.0212475851,-1.347653388,53.9226868903,-1.4977270094,53.8433559571,,,,
910924,E02002331,E02002350,2,0,0,0,0,0,0,2,0,0,0,0,21315.4899155638,0.0042235858,0.0084471717,0.0084471717,-1.347653388,53.9226868903,-1.645681837,53.8471890098,,,,
910925,E02002331,E02002351,18,0,0,0,1,0,0,14,3,0,0,0,10604.681054053,0.0359757919,0.6475642534,0.6475642534,-1.347653388,53.9226868903,-1.4409663716,53.8449366971,,,,
910926,E02002331,E02002352,4,0,0,0,1,0,0,3,0,0,0,0,15074.4457782492,0.0147153817,0.0588615267,0.0588615267,-1.347653388,53.9226868903,-1.5316182735,53.8418058636,,,,
910927,E02002331,E02002354,1,0,0,0,0,0,0,1,0,0,0,0,16131.3392520574,0.0119116227,0.0119116227,0.0119116227,-1.347653388,53.9226868903,-1.5485327985,53.8394232219,,,,
910928,E02002331,E02002356,8,0,0,0,1,0,0,6,0,0,1,0,23108.3159854133,0.0029509268,0.0236074141,0.0236074141,-1.347653388,53.9226868903,-1.6698365717,53.8396256342,,,,
910929,E02002331,E02002357,3,0,0,0,0,0,0,1,0,1,1,0,20868.4652481078,0.0046185898,0.0138557695,-0.9861442305,-1.347653388,53.9226868903,-1.6291347025,53.835990229,,,,
910930,E02002331,E02002358,18,0,0,0,1,0,0,14,0,0,3,0,12158.7902491982,0.0263646586,0.4745638552,0.4745638552,-1.347653388,53.9226868903,-1.4598015075,53.8357920354,,,,
910931,E02002331,E02002359,3,0,0,0,0,0,0,3,0,0,0,0,10326.6535049934,0.0380329076,0.1140987227,0.1140987227,-1.347653388,53.9226868903,-1.3697425356,53.8308039574,,,,
910932,E02002331,E02002361,6,0,0,0,0,0,0,6,0,0,0,0,15113.089642037,0.0146020882,0.0876125292,0.0876125292,-1.347653388,53.9226868903,-1.5143714712,53.8291749544,,,,
910933,E02002331,E02002362,5,0,0,0,0,0,0,4,0,0,1,0,20241.2345213143,0.0052358834,0.0261794168,0.0261794168,-1.347653388,53.9226868903,-1.6131811509,53.8306166402,,,,
910934,E02002331,E02002363,2,0,0,0,0,0,0,2,0,0,0,0,16141.0460097598,0.0118885205,0.023777041,0.023777041,-1.347653388,53.9226868903,-1.5348689623,53.828844426,,,,
910935,E02002331,E02002364,13,0,0,0,3,0,0,7,0,1,2,0,13226.9342587678,0.0212933672,0.276813773,-0.723186227,-1.347653388,53.9226868903,-1.4664255759,53.8267392129,,,,
910936,E02002331,E02002366,2,0,0,0,0,0,0,2,0,0,0,0,14350.5688237771,0.017007743,0.034015486,0.034015486,-1.347653388,53.9226868903,-1.4940384943,53.827020389,,,,
910937,E02002331,E02002367,1,0,0,0,0,0,0,1,0,0,0,0,17424.757895733,0.0091965728,0.0091965728,0.0091965728,-1.347653388,53.9226868903,-1.5512470911,53.822437902,,,,
910938,E02002331,E02002368,2,0,0,0,0,0,0,1,0,0,1,0,24749.9459705718,0.0021250456,0.0042500913,0.0042500913,-1.347653388,53.9226868903,-1.6852862057,53.8243425956,,,,
910939,E02002331,E02002369,1,0,0,0,1,0,0,0,0,0,0,0,14301.5056498192,0.0171754553,0.0171754553,0.0171754553,-1.347653388,53.9226868903,-1.479266593,53.820355325,,,,
