id,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time_in_s,fastest_distance_in_m,quietest_time_in_s,quietest_distance_in_m
288,-1.6876952052,53.9007791557,-1.5143714712,53.8291749544,4098,16056,4542,16058
289,-1.6876952052,53.9007791557,-1.6131811509,53.8306166402,2924,10229,3566,12656
290,-1.6876952052,53.9007791557,-1.5348689623,53.828844426,3828,14637,4288,14630
291,-1.6876952052,53.9007791557,-1.4664255759,53.8267392129,4717,19671,5832,21682
292,-1.6876952052,53.9007791557,-1.4940384943,53.827020389,4445,18287,5494,19759
293,-1.6876952052,53.9007791557,-1.5512470911,53.822437902,3821,14806,4399,15641
294,-1.6876952052,53.9007791557,-1.6852862057,53.8243425956,3631,12198,4644,12710
295,-1.6876952052,53.9007791557,-1.479266593,53.820355325,4771,20295,5632,21099
296,-1.6876952052,53.9007791557,-1.4421484083,53.8218248926,4973,21069,6111,22854
297,-1.6876952052,53.9007791557,-1.530848943,53.8193025853,4106,16486,4512,16711
298,-1.6876952052,53.9007791557,-1.5813803838,53.8184752721,3473,12939,3819,14037
299,-1.6876952052,53.9007791557,-1.5978264373,53.8174200785,3264,12176,3651,13531
300,-1.6876952052,53.9007791557,-1.6270046147,53.8205240553,3408,12001,4109,13959
301,-1.6876952052,53.9007791557,-1.5006442299,53.815492733,4563,17939,5584,21072
302,-1.6876952052,53.9007791557,-1.4640100536,53.814328863,5069,21112,6041,22629
303,-1.6876952052,53.9007791557,-1.6413464562,53.8153341658,3545,12244,4244,14191
304,-1.6876952052,53.9007791557,-1.6550978034,53.8176424986,3510,12858,4795,16629
305,-1.6876952052,53.9007791557,-1.5121470392,53.8110109367,4462,17407,5042,18526
306,-1.6876952052,53.9007791557,-1.5711081108,53.8110117037,3746,13936,4093,15426
307,-1.6876952052,53.9007791557,-1.5450850219,53.8096337814,4092,15296,4538,16953
308,-1.6876952052,53.9007791557,-1.5824764839,53.8079116016,3702,14107,4112,15598
309,-1.6876952052,53.9007791557,-1.4237982697,53.8075625094,5461,23281,6558,25313
310,-1.6876952052,53.9007791557,-1.6352400439,53.808721822,3884,13118,4624,15126
311,-1.6876952052,53.9007791557,-1.6102509195,53.8088425684,3752,14185,4269,15100
312,-1.6876952052,53.9007791557,-1.4693922426,53.8062954254,5166,21512,6199,23579
313,-1.6876952052,53.9007791557,-1.6682097793,53.8056954082,4033,14396,5315,17738
314,-1.6876952052,53.9007791557,-1.5609149148,53.8046175701,4084,15124,4576,16920
315,-1.6876952052,53.9007791557,-1.523831007,53.804524144,4441,17225,5039,19015
316,-1.6876952052,53.9007791557,-1.5096383515,53.8031039327,4743,18739,5308,19826
